course_code,course_title,units,section_number,class_number,type,days,start_time,end_time,building,room,instructor,comment
CECS 552,COMPUTER SIMULATION & MODELING,3 Units,02,11181,SEM,F,1,3:45PM,ECS,308,Sarshar A,Class instruction is: Face to Face - On Campus.
CECS 553,MACHINE VISION,3 Units,01,9746,SEM,Sa,11,1:45PM,ECS,403,Sodagari S,Class instruction is: Face to Face - On Campus.
CECS 574,TOPICS DISTRIBUTED COMPUTING,3 Units,02,7293,SEM,Sa,8,10:45AM,VEC,518,Yaghini P,Class instruction is: Face to Face - On Campus.
CECS 579,INFORMATION SECURITY,3 Units,02,9648,SEM,Sa,8,10:45AM,ECS,403,Sodagari S,Class instruction is: Face to Face - On Campus.
CECS 579,INFORMATION SECURITY,3 Units,03,9937,SEM,F,8,10:45AM,ECS,412,Sodagari S,Class instruction is: Face to Face - On Campus.
CECS 697,DIRECTED RESEARCH,1-3 Units,14,3444,SUP,TBA,NA,,NA,,Staff,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 697,DIRECTED RESEARCH,1-3 Units,15,4588,SUP,TBA,NA,,NA,,Staff,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 697,DIRECTED RESEARCH,1-3 Units,16,4680,SUP,TBA,NA,,NA,,Staff,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 697,DIRECTED RESEARCH,1-3 Units,17,5070,SUP,TBA,NA,,NA,,Staff,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 697,DIRECTED RESEARCH,1-3 Units,18,8644,SUP,TBA,NA,,NA,,Staff,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 698,THESIS OR INDUSTRIAL PROJECT,3-6 Units,01,1142,SUP,TBA,NA,,NA,,Staff,Department Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 698,THESIS OR INDUSTRIAL PROJECT,3-6 Units,04,8698,SUP,TBA,NA,,NA,,Staff,Department Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 698,THESIS OR INDUSTRIAL PROJECT,3-6 Units,17,3443,SUP,TBA,NA,,NA,,Staff,Department Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 698,THESIS OR INDUSTRIAL PROJECT,3-6 Units,18,5669,SUP,TBA,NA,,NA,,Staff,Department Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 698,THESIS OR INDUSTRIAL PROJECT,3-6 Units,19,8756,SUP,TBA,NA,,NA,,Staff,Department Consent RequiredClass instruction is: Face to Face - On Campus.
